sample,read
ERR9958133,https://raw.githubusercontent.com/stjudecab/test_datasets/cab-lr-fusion/nanopore/sub_ERR9958133.fastq.gz
ERR9958134,https://raw.githubusercontent.com/stjudecab/test_datasets/cab-lr-fusion/nanopore/sub_ERR9958134.fastq.gz
